taxon_class_name,taxon_species_name,synonymous,It’s in the guides:
Aves,Anarhynchus collaris,,
Aves,Anarhynchus falklandicus,,
Aves,Anthus chii,,
Aves,Catharus ustulatus,,
Aves,Daptrius chimachima,,
Aves,Daptrius chimango,,
Aves,Fulmarus glacialis,,
Aves,Gampsonyx swainsonii,,
Aves,Geothlypis velata,,
Aves,Ictinia plumbea,,
Aves,Meleagris gallopavo,,
Aves,Motacilla alba,,
Aves,Numida meleagris,,
Aves,Nymphicus hollandicus,,
Aves,Pavo cristatus,,
Aves,Zonibyx modestus,,
Mammalia,Leopardus fasciatus,,
